Inventory Part,Serial #,(Unit No),Unit Description
D-PED,5116381,D-04490,"D-04490
R82 Crocodile Orange - Size 2
S/N 5116381"
188WM48,ZRS-062991,,"Sunrise Zippie Iris Tilt Wheelchair - Base
S/N ZRS-062991"
Q6 EDGE 2.0 3MP-SS,JD804024007CN0,,"PRIDE MOBILITY Quantum Q6 Edge 2.0
S/N JD804024007CN0"
R-ACCESS-ELAN,20110331069,DUM-18,"DUM-18
Bruno SRE-3000
S/N 20110331069"
R-ACCESS-ELAN,21020330003,HME-04005,"HME-04005
Bruno SRE-3000
S/N 21020330003"
R-ACCESS-ELAN,DUM-2,DUM-2,"DUM-2
Bruno SRE-3000
S/N DUM-2"
NTB2000-CA,300635091,,"ARJO Sara Stedy
S/N 300635091"
1501000,130285,,"PDG Fuze T50 50° Manual Tilt Wheelchair
S/N 130285"
CP440,CP4404845,,"HIGHSTAR Mackworth CP440
S/N CP4404845"
CP440,CP4404843,,"HIGHSTAR Mackworth CP440
S/N CP4404843"
CP440,CP4404849,,"HIGHSTAR Mackworth CP440
S/N CP4404849"
CP440,CP4404851,,"HIGHSTAR Mackworth CP440
S/N CP4404851"
CP440,CP4404853,,"HIGHSTAR Mackworth CP440
S/N CP4404853"
CP440,CP4404855,,"HIGHSTAR Mackworth CP440
S/N CP4404855"
CP440,CP4404857,,"HIGHSTAR Mackworth CP440
S/N CP4404857"
CP440,CP4404858,,"HIGHSTAR Mackworth CP440
S/N CP4404858"
CP440,CP4404860,,"HIGHSTAR Mackworth CP440
S/N CP4404860"
CP440,CP4404862,,"HIGHSTAR Mackworth CP440
S/N CP4404862"
FSG440,FSG440,,S/N FSG440
2501000,130466,,"PDG Mobility Lightweight Stellar GLT
S/N 130466"
D-SEA-CUSH,D-04492,D-04492,"D-04492
Motion Concepts HME Demo - Matrx Libra Cushion 22x18
S/N D-04492"
D-SEA-CUSH,D-04493,D-04493,"D-04493
Motion Concepts HME Demo - Matrx PSP Cushion 24x20
S/N D-04493"
D-SEA-CUSH,D-04494,D-04494,"D-04494
Motion Concepts HME Demo - Matrx PS Cushion 22x18
S/N D-04494"
D-SEA-CUSH,D-04495,D-04495,"D-04495
Motion Concepts HME Demo - Matrx PS Cushion 22x20
S/N D-04495"
D-SEA-CUSH,D-04496,D-04496,"D-04496
Ki MOBILITY  Axiom SP - 18x18
S/N D-04496"
D-WC-TILT,QSR-054654.,D-04500,"D-04500
SUNRISE  Quickie SR45 - 14x14
S/N QSR-054654."
ATM3,240214583001,,"AMYLIOR AllTrack M3 Power Wheelchair
S/N 240214583001"
D-PED,822288,D-04501,"D-04501
R82 INC XPANDA SHAPE - Infant Size
S/N 822288"
HMESWAN,7809554330,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554330"
HMESWAN,7809554334,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554334"
HMESWAN,7809554322,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554322"
HMESWAN,7809554315,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554315"
HMESWAN,7809554340,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554340"
HMESWAN,7809554328,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554328"
HMESWAN,7809554321,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554321"
HMESWAN,7809554312,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554312"
HMESWAN,7809554319,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554319"
HMESWAN,7809554327,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554327"
HMESWAN,7809554331,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554331"
HMESWAN,7809554332,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554332"
HMESWAN,7809554341,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554341"
HMESWAN,7809554314,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554314"
HMESWAN,7809554313,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554313"
HMESWAN,7809554333,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554333"
HMESWAN,7809554317,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554317"
HMESWAN,7809554335,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554335"
HMESWAN,7809554338,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554338"
HMESWAN,7809554318,,"EVERGREEN HME Signature Series  HME Swan Low Air Loss
S/N 7809554318"
D-PED,426351,D-04502,"D-04502
R82 INC MEERKAT -SIZE1
S/N 426351"
D-PED,NXT45623,D-04503,"D-04503
INVACARE NXT Tilt Wheelchair - 14x16
S/N NXT45623"
R-WC-BASIC-MOVE1820,102178,HME-01916,"HME-01916
Helio Move 18x20
S/N 102178"
160AN6A1U,PO545029,,"Arjo Minuet 2 bed
S/N PO545029"
R-LIFT-MOTOR,A20201217670007,HME-05873,"HME-05873
Handicare AP-450 Lift motor
S/N A20201217670007"
303060,A20201124645851,,"Handicare AP-450
S/N A20201124645851"
R-LIFT-MOTOR,A20201203653209,HME-05872,"HME-05872
Handicare AP-450 Lift motor
S/N A20201203653209"
303060,A20201124645840,,"Handicare AP-450
S/N A20201124645840"
R-WC-BASIC-MOVE1616,35944,BC1027,"BC1027
Helio Move 16x16
S/N 35944"
R-WC-PED-R-JYMNI1210,20CM015931,HME-03423,"HME-03423
Invacare Jymni 12x10
S/N 20CM015931"
R-WC-PED-R-JYMNI1210,20CM015932,HME-03422,"HME-03422
Invacare Jymni 12x10
S/N 20CM015932"
R-WC-PED-R-JYMNI1212,19FM009823,HME-03418,"HME-03418
Invacare Jymni 12x12
S/N 19FM009823"
R-WC-PED-R-JYMNI1212,20CM015929,HME-01249,"HME-01249
Invacare Jymni 12x12
S/N 20CM015929"
R-WC-PED-R-VIPER12,2A1901000776,HME-03419,"HME-03419
Drive Viper 12""
S/N 2A1901000776"
R-WC-PED-R-VIPER12,2A1901000767,BC3869,"BC3869
Drive Viper 12""
S/N 2A1901000767"
R-LIFT-SS,DUM-551,DUM-55,"DUM-55
Sara Stedy
S/N DUM-551"
PR-632M,GT2102RAP00586,,"Golden PR-632M
S/N GT2102RAP00586"
D-PED,RGXP007908,D-02158,"D-02158
Ki Mobility ROGUE XPE
S/N RGXP007908"
D-PED,4S1505272204,D-02002,"D-02002
Wenzwelite Medium
S/N 4S1505272204"
D-PED,354259,D-02003,"D-02003
Convaid High Low Size 2
S/N 354259"
D-PED,D-00166,D-00166,"D-00166
Pride Go Chair 12X12
S/N D-00166"
D-PED,Q2X-042723,D-02008,"D-02008
Sunrise Quickie 2 13x12
S/N Q2X-042723"
R-WC-PED-M,14167,D-02009,"D-02009
Helio 12x14
S/N 14167"
R-WC-PED-M,11956576,HME-04731,"HME-04731
Tilite AeroX 14x16
S/N 11956576"
D-PED,TSTR003609,D-02014,"D-02014
Ki Tsunami 12x10
S/N TSTR003609"
D-PED,RZ008495,D-02015,"D-02015
Zippie 12x12
S/N RZ008495"
D-PED,QX022576,D-02019,"D-02019
Quickie QX 14x14
S/N QX022576"
R-WC-PED-T,ZRS-056332,D-02021,"D-02021
Zippie Iris
S/N ZRS-056332"
D-PED,K50120180620AA,D-02029,"D-02029
Rifton Pacer Small
S/N K50120180620AA"
D-PED,K50220160317AA,D-02031,"D-02031
Rifton Pacer Medium
S/N K50220160317AA"
D-PED,870023,D-02033,"D-02033
Meerkat Size 3
S/N 870023"
D-PED,LEC/202289,D-02038,"D-02038
Pal Class Size 2
S/N LEC/202289"
D-PED,R82020201103AB,D-02041,"D-02041
Rifton Activity Chair Smal
S/N R82020201103AB"
D-PED,V2017328004,D-02043,"D-02043
Easystand Bantam
S/N V2017328004"
D-PED,087710-002,D-02052,"D-02052
Dynamico Size 5
S/N 087710-002"
R-WC-MISC,QX-022674,HME-05857,"HME-05857
Quickie Quickie QX 14x14
S/N QX-022674"
D-PED,LEC/250214,D-02054,"D-02054
Leckey MyWay Size 2
S/N LEC/250214"
D-PED,LEC/228811,D-02055,"D-02055
Leckey Myway Size 1
S/N LEC/228811"
D-PED,418128,D-02060,"D-02060
R82 Mustang Size 1
S/N 418128"
D-PED,BR-S12-766,D-02062,"D-02062
Buddy Roamer Size 1
S/N BR-S12-766"
R-PED-MISC,5080126,D-02064,"D-02064
R82 Crocodile Size 1
S/N 5080126"
R-PED-MISC,LEC/248262,D-02065,"D-02065
Firefly Go To Seat Size 1
S/N LEC/248262"
D-PED,HR24550000-007,D-02068,"D-02068
OttoBock Mustang
S/N HR24550000-007"
D-PED,5055861,D-02071,"D-02071
R82 Manatee Size 1
S/N 5055861"
R-BTH-PEDC,LEC/201838/LEC/201814,HME-04580,"HME-04580
Leckey Bath Seat Size 2
S/N LEC/201838/LEC/201814"
D-PED,LEC/20176,D-02073,"D-02073
Leckey Advance Bath Trolley Size 3
S/N LEC/20176"
D-PED,5042005,D-02074,"D-02074
Convaid Manatee Size 1
S/N 5042005"
R-PED-MISC,Z21020170327AD,D-02076,"D-02076
Rifton Wave Small
S/N Z21020170327AD"
D-PED,Z21020200416AB,D-02077,"D-02077
Rifton Wave Small
S/N Z21020200416AB"
R-PED-MISC,Z12020200219AA,D-02079,"D-02079
Rifton HTS
S/N Z12020200219AA"
R-BTH-PEDC,Z120  20150828AF,HME-03009,"HME-03009
Rifton HTS
S/N Z120  20150828AF"
D-PED,252364,D-02091,"D-02091
R82 Flamingo Size 2
S/N 252364"
D-PED,219-150,D-02130,"D-02130
bike pink
S/N 219-150"
R-SEA-PREM-V1818,626824,HME-02713,"HME-02713
Vicair Vector 18x18
S/N 626824"
R-SEA-ROHOHP1618,A3492775,HME-02475,"HME-02475
ROHO HP 16x18
S/N A3492775"
D-MISC,D-02209,,"Symmetric designs Savant headrest
S/N D-02209"
D-MISC,D-02210,,"Symmetric designs infinity link headrest hardware
S/N D-02210"
