 Category , Part Number, Supplier Part #, Description, Location, Quantity, Counts, New Count, Difference, Oversold, Supplier, Brand
102,CBED31-IVCDS,CBED31-IVCDS,IVC Full Electric Bed w Clamp On...,, 1.000 ,0,,-1.000 ,,Invacare Canada Ltd.,
102,ETUDE-HC,ETUDE-HC,Etude HC Bed - no rails included,, 2.000 ,2,,-2.000 ,,Invacare Canada Ltd.,
102,HALSA-STD-HSR-PKG,HALSA-STD-HSR-PKG,Halsa Bed: Includes head and foo...,, 2.000 ,2,,-2.000 ,,Permobil Canada,
103,PLR935M-VAB-H-0-A,PLR935M-VAB-H-0-A,"VIVALIFT POWER RECLINER, TRANQUI...",, 1.000 ,1,,-1.000 ,,Pride Mobility Products,
103,PLR935S-VAG-HOB,PLR935S-VAG-H0B,"VIVALIFT POWER RECLINER, TRANQUI...",, 1.000 ,1,,-1.000 ,,Pride Mobility Products,
103,PR-515MLA,PR-515MLA,MaxiComfort Cloud Lift and Recli...,, 1.000 ,1,,-1.000 ,,Golden Technologies,
103,PR-531M,PR-531M,Golden Technologies COMFORTER Se...,, 1.000 ,1,,-1.000 ,,Golden Technologies,
104,MATTSECT1610,MATTSECT1610,"19"" x 30"" ROHO Neoprene Mattress...",, 2.000 ,0,,-2.000 ,,Permobil Canada,
104,MATTSECT3400,MATTSECT3400,"Roho Neoprene Section (19"" x 34""...",, 10.000 ,0,,-10.000 ,,Permobil Canada,
104,SRS2080,SRS2080,SoftForm Glissando Sliding mattr...,, 1.000 ,0,,-1.000 ,,Invacare Canada Ltd.,
107,NX2,NX2,NEOX 6 Wheel Tilt-in-Space Wheel...,, 5.000 ,5,,-5.000 ,,Physipro,
108,1101000,1101000,Eclipse 600 Manual Bariatric Whe...,, 1.000 ,1,,-1.000 ,,PDG Product Design Group Inc.,
108,196WM94,196WM94,Quickie QX Base,, 0.000 ,0,, 0.000 ,,Sunrise Medical,
108,700-830,700-830,Airgo Comfort-Plus XC Premium Li...,, 7.000 ,0,,-7.000 ,,Drive Medical,
108,700-846,700-846,Airgo Comfort Plus Lightweight T...,, 1.000 ,0,,-1.000 ,,Drive Medical,
108,MVQSWC01,MVQSWC01,Ultralight Move Wheelchair Alumi...,, 1.000 ,1,,-1.000 ,,Motion Composites,
108,WC01,WC01,Move Aluminum Wheelchair,, 0.000 ,0,, 0.000 ,,Motion Composites,
110,1R1010C,1R1010C,"Roho Cushion, High Profile 18""x1...",, 5.000 ,0,,-5.000 ,,Permobil Canada,
110,1R1011C,1R1011C,"Roho Cushion, High Profile 18"" x...",, 1.000 ,0,,-1.000 ,,Permobil Canada,
110,1R1111C,1R1111C,"Roho Cushion, High Profile 20"" x...",, 3.000 ,0,,-3.000 ,,Permobil Canada,
110,1R910C,1R910C,"Roho Cushion, High Profile 16""x1...",, 3.000 ,0,,-3.000 ,,Permobil Canada,
110,1R99C,1R99C,"Roho Cushion, High Profile 16""x1...",, 6.000 ,0,,-6.000 ,,Permobil Canada,
110,E2D2018-H,E2D2018-H,E2 Deep Back Standard 20 x 18 wi...,, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,E2D2020-H,E2D2020-H,E2 Deep Back Standard 20 x 20 wi...,, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,E2S1616,E2S1616,"E2 16""x16"" Backrest",, 2.000 ,0,,-2.000 ,,Motion Concepts Canada,
110,E2S1616-H,E2S1616-H,"E2 16""x16"" Backrest with Headres...",, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,E2S1618-H,E2S1618-H,"E2 16""x18"" Backrest with Headres...",, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,E2S1818,E2S1818,"E2 18""x18"" Backrest",, 2.000 ,0,,-2.000 ,,Motion Concepts Canada,
110,E2S1820,E2S1820,"E2 18""x20"" Backrest",, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,E2S2018-H,E2S2018-H,"E2 20""x18"" Backrest with Headres...",, 5.000 ,0,,-5.000 ,,Motion Concepts Canada,
110,E2S2020-H,E2S2020-H,"E2 20""x20"" Backrest with Headres...",, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,M18TD,M18TD,Silverback Max Backrest - Deep 1...,, 1.000 ,0,,-1.000 ,,Blake Medical Distribution,
110,MM1616,MM1616,Matrx Multi Cushion 16x16,, 7.000 ,0,,-7.000 ,,Motion Concepts Canada,
110,MM1618,MM1618,Matrx Multi Cushion 16x18,, 3.000 ,0,,-3.000 ,,Motion Concepts Canada,
110,MM1816,MM1816,Matrx Multi Cushion 18x16,, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,MM1818,MM1818,Matrx Multi Cushion 18x18,, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,MM1820,MM1820,Matrx Multi Cushion 18x20,, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,MM2018,MM2018,Matrx Multi Cushion 20x18,, 3.000 ,0,,-3.000 ,,Motion Concepts Canada,
110,MPBD1616,MPBD1616,"MATRIX DEEP Posture Back - 16"" x...",, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
110,P16TD,P16TD,Silverback Prime Backrest - Deep...,, 1.000 ,0,,-1.000 ,,Blake Medical Distribution,
110,PBE2216-HD,PBE2216-HD,Matrix PB Elite Heavy Duty Back...,, 1.000 ,0,,-1.000 ,,Motion Concepts Canada,
