Inventory Part,Make,Model,Serial #,(Unit No),Inventory Desc,Department
R-ACCESS-ELAN,Bruno,SRE-3000,20110331069,DUM-18,Elan Stairlift (Monthly Rental) ...,Surrey
R-ACCESS-ELAN,Bruno,SRE-3000,21020330003,HME-04005,Elan Stairlift (Monthly Rental) ...,Surrey
R-ACCESS-ELAN,Bruno,SRE-3000,DUM-2,DUM-2,Elan Stairlift (Monthly Rental) ...,Surrey
R-WC-PED-R-JYMNI1212,Invacare,Jymni 12x12,19FM009822,BC1308,9000 Jymni Light wheelchair - 12...,Surrey
R-WC-BASIC-MOVE1820,Helio,Move 18x20,102178,HME-01916,Move Basic Manual Wheelchair 18x...,Surrey
R-LIFT-MOTOR,Handicare,AP-450 Lift motor,A20201217670007,HME-05873,Voyager Motor (Monthly Rental),Surrey
303060,Handicare,AP-450,A20201124645851,,AP-450 lift motor,Surrey
R-LIFT-MOTOR,Handicare,AP-450 Lift motor,A20201203653209,HME-05872,Voyager Motor (Monthly Rental),Surrey
303060,Handicare,AP-450,A20201124645840,,AP-450 lift motor,Surrey
R-WC-BASIC-MOVE1616,Helio,Move 16x16,35944,BC1027,Move Basic Manual Wheelchair 16x...,Surrey
R-PED-MISC,Convaid,Metro 16 Stroller,ME16T-00529,BC9993,Pediatric Miscelleous Equipment ...,Surrey
R-WC-PED-R-JYMNI1210,Invacare,Jymni 12x10,20CM015931,HME-03423,9000 Jymni Light wheelchair - 12...,Surrey
R-WC-PED-R-JYMNI1210,Invacare,Jymni 12x10,20CM015932,HME-03422,9000 Jymni Light wheelchair - 12...,Surrey
R-WC-PED-R-JYMNI1212,Invacare,Jymni 12x12,19FM009823,HME-03418,9000 Jymni Light wheelchair - 12...,Surrey
R-WC-PED-R-JYMNI1212,Invacare,Jymni 12x12,20CM015929,HME-01249,9000 Jymni Light wheelchair - 12...,Surrey
R-WC-PED-R-JYMNI1212,Invacare,Jymni 12x12,20CM015930,HME-03424,9000 Jymni Light wheelchair - 12...,Surrey
R-WC-PED-R-VIPER12,Drive,"Viper 12""",2A1901000776,HME-03419,Drive Viper Reclining Chair - 12...,Surrey
R-WC-PED-R-VIPER12,Drive,"Viper 12""",2A1901000767,BC3869,Drive Viper Reclining Chair - 12...,Surrey
R-LIFT-SS,Sara,Stedy,DUM-551,DUM-55,Sara Stedy Lift (Monthly Rental),Surrey
D-PED,Ki Mobility,ROGUE XPE,RGXP007908,D-02158,HME Demo - Pediatric Equipment,Surrey
D-PED,Wenzwelite,Medium,4S1505272204,D-02002,HME Demo - Pediatric Equipment,Surrey
D-PED,Convaid,High Low Size 2,354259,D-02003,HME Demo - Pediatric Equipment,Surrey
D-PED,Pride,Go Chair 12X12,D-00166,D-00166,HME Demo - Pediatric Equipment,Surrey
D-PED,Sunrise,Quickie 2 13x12,Q2X-042723,D-02008,HME Demo - Pediatric Equipment,Surrey
R-WC-PED-M,Helio,12x14,14167,D-02009,Wallaby pediatric folding chair ...,Surrey
R-WC-PED-M,Tilite,AeroX 14x16,11956576,HME-04731,Wallaby pediatric folding chair ...,Surrey
D-PED,Ki,Tsunami 12x10,TSTR003609,D-02014,HME Demo - Pediatric Equipment,Surrey
D-PED,Zippie,12x12,RZ008495,D-02015,HME Demo - Pediatric Equipment,Surrey
D-PED,Quickie,QX 14x14,QX022576,D-02019,HME Demo - Pediatric Equipment,Surrey
R-WC-PED-T,Zippie,Iris,ZRS-056332,D-02021,Pediatric Tilt Wheelchair (Month...,Surrey
D-PED,Rifton,Pacer Small,K50120180620AA,D-02029,HME Demo - Pediatric Equipment,Surrey
D-PED,Rifton,Pacer Medium,K50220160317AA,D-02031,HME Demo - Pediatric Equipment,Surrey
D-PED,Meerkat,Size 3,870023,D-02033,HME Demo - Pediatric Equipment,Surrey
D-PED,Pal Class,Size 2,LEC/202289,D-02038,HME Demo - Pediatric Equipment,Surrey
D-PED,Rifton,Activity Chair Smal,R82020201103AB,D-02041,HME Demo - Pediatric Equipment,Surrey
D-PED,Easystand,Bantam,V2017328004,D-02043,HME Demo - Pediatric Equipment,Surrey
D-PED,Dynamico,Size 5,087710-002,D-02052,HME Demo - Pediatric Equipment,Surrey
R-WC-MISC,Quickie,QX 14x14,QX-022674,HME-05857,Helio C2,Surrey
D-PED,Leckey,MyWay Size 2,LEC/250214,D-02054,HME Demo - Pediatric Equipment,Surrey
D-PED,Leckey,Myway Size 1,LEC/228811,D-02055,HME Demo - Pediatric Equipment,Surrey
D-PED,R82,Mustang Size 1,418128,D-02060,HME Demo - Pediatric Equipment,Surrey
D-PED,Buddy Roamer,Size 1,BR-S12-766,D-02062,HME Demo - Pediatric Equipment,Surrey
R-PED-MISC,R82,Crocodile Size 1,5080126,D-02064,Pediatric Miscelleous Equipment ...,Surrey
R-PED-MISC,Firefly,Go To Seat Size 1,LEC/248262,D-02065,Pediatric Miscelleous Equipment ...,Surrey
D-PED,CanDan,Miniwalk,150131,D-02067,HME Demo - Pediatric Equipment,Surrey
D-PED,OttoBock,Mustang,HR24550000-007,D-02068,HME Demo - Pediatric Equipment,Surrey
D-PED,Convaid,Pony Size 2,ART no.86412,D-02069,HME Demo - Pediatric Equipment,Surrey
D-PED,R82,Manatee Size 1,5055861,D-02071,HME Demo - Pediatric Equipment,Surrey
R-BTH-PEDC,Leckey,Bath Seat Size 2,LEC/201838/LEC/201814,HME-04580,Pediatric Commode,Surrey
D-PED,Leckey,Advance Bath Trolley Size 3,LEC/20176,D-02073,HME Demo - Pediatric Equipment,Surrey
D-PED,Convaid,Manatee Size 1,5042005,D-02074,HME Demo - Pediatric Equipment,Surrey
R-BTH-PEDC,Rifton,Wave Large,Z23020200518AL,HME-04554,Pediatric Commode,Surrey
R-PED-MISC,Rifton,Wave Small,Z21020170327AD,D-02076,Pediatric Miscelleous Equipment ...,Surrey
D-PED,Rifton,Wave Small,Z21020200416AB,D-02077,HME Demo - Pediatric Equipment,Surrey
R-PED-MISC,Rifton,HTS,Z12020200219AA,D-02079,Pediatric Miscelleous Equipment ...,Surrey
R-BTH-PEDC,Rifton,HTS,Z120  20150828AF,HME-03009,Pediatric Commode,Surrey
D-PED,R82,Flamingo Size 2,252364,D-02091,HME Demo - Pediatric Equipment,Surrey
D-PED,,bike pink,219-150,D-02130,HME Demo - Pediatric Equipment,Surrey
R-SEA-PREM-V1818,Vicair,Vector 18x18,626824,HME-02713,"Vicair Vector 10 4"" Cushion 18x1...",Surrey
R-SEA-ROHOHP1618,ROHO,HP 16x18,A3492775,HME-02475,ROHO Air Flotation Cushion w. Pu...,Surrey
D-MISC,Symmetric designs,Savant headrest,D-02209,,HME Demo - Miscellaneous,Surrey
D-MISC,Symmetric designs,infinity link headrest hardware,D-02210,,HME Demo - Miscellaneous,Surrey
D-MISC,Symmetric designs,additional hardware,D-02211,,HME Demo - Miscellaneous,Surrey
D-MISC,Symmetric design,1'' bal mount adapter,D-02212,,HME Demo - Miscellaneous,Surrey
D-WC-TILT,Ottobock,Discovery Tmax,2016-10140017,D-00107,HME Demo - Tilt Wheelchairs,Surrey
D-WC-TILT,NXT,Generation 20X22,nxt-46707,D-00111,HME Demo - Tilt Wheelchairs,Surrey
