Year,Make,Model,Serial #,(Unit No),Inventory Desc,Department
2021,,Reho Soft RTS,D-03573,D-03573,HME Demo - Bathroom Equipment,Surrey
2021,,Reho Soft RTS,D-03573,D-03573,HME Demo - Bathroom Equipment,Surrey
2021,Personal Aide,Woode Bath Board 30Wx4H,D-03574,D-03574,HME Demo - Bathroom Equipment,Surrey
2021,Blake,Blake Toilet Seat 18,D-03575,D-03575,HME Demo - Bathroom Equipment,Surrey
2021,Eagle Health,Eagle Health Tub Mounted Transfer Bench,D-03577,D-03577,HME Demo - Bathroom Equipment,Surrey
2023,Dynamic,Raz-AT 18W Base and Seat Frame - Commode Chair,RAT-122546,D-03897,HME Demo - Bathroom Equipment,Surrey
2021,Performance Health,Bed Cradle,D-03579,D-03579,HME Demo - Bedroom Equipment,Surrey
2021,Action Products,Action Gel Bed Pad 35x80,D-03572,D-03572,HME Demo - Bedroom Equipment,Surrey
2021,Matrx,PS,D-02138,D-02138,HME Demo - Cushions,Surrey
2021,Matrx,PS,D-02144,D-02144,HME Demo - Cushions,Surrey
2021,Matrx,PS,D-02146,D-02146,HME Demo - Cushions,Surrey
2021,Matrx,PS,D-02147,D-02147,HME Demo - Cushions,Surrey
2021,Essential Medical Products,ESP 12x14,D-02141,D-02141,HME Demo - Cushions,Surrey
2021,Matrx,PS 10x10,D-02142,D-02142,HME Demo - Cushions,Surrey
2021,Matrx,PS 10x10,D-02148,D-02148,HME Demo - Cushions,Surrey
2021,Matrx,PS 10x10,D-02154,D-02154,HME Demo - Cushions,Surrey
2021,Matrx,PS 10x10,D-02155,D-02155,HME Demo - Cushions,Surrey
2021,Matrx,PS 12x12,D-02151,D-02151,HME Demo - Cushions,Surrey
2021,Jay,Union 13x16,D-02145,D-02145,HME Demo - Cushions,Surrey
2021,Matrx,PS 12x12,D-02152,D-02152,HME Demo - Cushions,Surrey
2021,Matrx,10x10,D-02156,D-02156,HME Demo - Cushions,Surrey
2021,Matrx,PS 12x12,D-02153,D-02153,HME Demo - Cushions,Surrey
2021,Permobil,"Roho Hybrid Elite,20x18",A3980373,D-01182,HME Demo - Cushions,Surrey
2021,Invacare,"Matrx Libra,cushion,18x16",D-01208,D-01208,HME Demo - Cushions,Surrey
2021,Blake Medical,"Zentury cushion,20x18",D-03046,D-03046,HME Demo - Cushions,Surrey
2021,Matrix,sample cushion 20x18,0M0338603,D-02220,HME Demo - Cushions,Surrey
2021,Future Mobility,Prism II Supreme plus 18x18,D-02228,D-02228,HME Demo - Cushions,Surrey
2021,Blake,GHD 20x18,10247,D-02240,HME Demo - Cushions,Surrey
2021,Permobil,Roho Contour Select 15 x17,A4300220,D-02274,HME Demo - Cushions,Surrey
2021,Permobil,Roho Enhancer 17x17,A4322313,D-02258,HME Demo - Cushions,Surrey
2021,Permobil,Roho Enhancer 19x19,A4322314,D-02259,HME Demo - Cushions,Surrey
1900,,,D-02241,,HME Demo - Cushions,Surrey
1900,,,D-02247,,HME Demo - Cushions,Surrey
1900,,,D-02246,,HME Demo - Cushions,Surrey
1900,,,D-02257,,HME Demo - Cushions,Surrey
1900,,,D-02240,,HME Demo - Cushions,Surrey
1900,,,D-02236,,HME Demo - Cushions,Surrey
1900,,,D-02222,,HME Demo - Cushions,Surrey
1900,,,D-02219,,HME Demo - Cushions,Surrey
2021,Future Mobility,"Prism Supreme ll plus, cushion,22x18",D-03390,D-03390,HME Demo - Cushions,Surrey
2021,Permobil,Roho Contour Select 19 X 17,A4299512,D-02273,HME Demo - Cushions,Surrey
2022,Permobil,Roho Hybrid Select 16x16,A4332291,D-02277,HME Demo - Cushions,Surrey
2022,Permobil,Roho Hybrid Select 18x16,A4305210,D-02279,HME Demo - Cushions,Surrey
2022,Permobil,Roho Hybrid Select 20x18,A4347863,D-02281,HME Demo - Cushions,Surrey
2022,Permobil,Roho hybrid Elite 16x16,A4238711,D-02282,HME Demo - Cushions,Surrey
2022,Permobil,Roho hybrid Elite 16x18,A4311058,D-02283,HME Demo - Cushions,Surrey
2022,Permobil,Roho hybrid Elite 18x17,A4309565,D-02284,HME Demo - Cushions,Surrey
2022,Permobil, 20x17,A4324379,D-02285,HME Demo - Cushions,Surrey
2022,SPEX,SPEX Standard Contour Cushion 16 x 18,D-03429,D-03429,HME Demo - Cushions,Surrey
2021,Motion Concepts,Matrx Libra 16x18 Cushion,D-03455,D-03455,HME Demo - Cushions,Surrey
2021,BFF,BFF 20x20 Cushion,D-03456,D-03456,HME Demo - Cushions,Surrey
2021,Sunrise,Jay Union 15x20 Cushion,D-03458,D-03458,HME Demo - Cushions,Surrey
2021,Motion Concepts,Matrx Vi 16x18,D-03462,D-03462,HME Demo - Cushions,Surrey
2021,Blake Medical,Blake Gold 16x16,D-03464,D-03464,HME Demo - Cushions,Surrey
2021,Motion Concepts,Matrx Libra 18x18 Cushion,D-03466,D-03466,HME Demo - Cushions,Surrey
2021,Blake,Blake Hybrid Deep 18x20 Cushion,D-03467,D-03467,HME Demo - Cushions,Surrey
2021,Blake,Zentury 14x16 Cushion,D-03471,D-03471,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho Pad 6.5x14.75x3.25,D-03474,D-03474,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho Pad 6.5x14.75x3.25,D-03475,D-03475,HME Demo - Cushions,Surrey
2021,Invacare,Infinity 16x18 Cushion,D-03476,D-03476,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho 24x22 HP Cushion A4089385,D-03482,D-03482,HME Demo - Cushions,Surrey
2021,Ride,Ride Custom 2 20x21 Cushion,D-03484,D-03484,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Permobil 18x18 Foam Cushion,D-03485,D-03485,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho Hybrid Elite 20x18,D-03486,D-03486,HME Demo - Cushions,Surrey
2021,Pride Mobility,Synergy Solution 16x16 Cushion,D-03491,D-03491,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho 16x18 HP Cushion A1193410,D-03498,D-03498,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho 14x14 LP Cushion A0948221,D-03504,D-03504,HME Demo - Cushions,Surrey
2021,Pride Mobility,Synergy Spectrum 24x20 Cushion,D-03506,D-03506,HME Demo - Cushions,Surrey
2021,Malton Best,Prism Supreme II Plus 22x20,D-03514,D-03514,HME Demo - Cushions,Surrey
2021,Sunrise,J3 18x18 Cushion,D-03519,D-03519,HME Demo - Cushions,Surrey
2021,Permobil (Advanced),Roho Hybrid Elite 16x19,D-03521,D-03521,HME Demo - Cushions,Surrey
2021,Physipro,Fusion 22x18,D-03523,D-03523,HME Demo - Cushions,Surrey
2021,Action Products,Action Gel Pad 18x18,D-03570,D-03570,HME Demo - Cushions,Surrey
2022,Motion Concepts,PSVF 1818 - PS VISCO FOAM CUSHIONS 1818,1C0051824,,HME Demo - Cushions,Surrey
2022,Blake Medica,"Geo Matrix Hybrid Deep LP,cushion,16x18",D-03667,D-03667,HME Demo - Cushions,Surrey
2023,Dynamic,NXT BIOFIT CUSHION 17x17,N52228,D-03898,HME Demo - Cushions,Surrey
2023,Dynamic,NXT BIOFIT CUSHION 17x17,N52244,D-03899,HME Demo - Cushions,Surrey
2022,Roho,Roho Hybrid Elite Cushion - 18x18,D-03701,D-03701,HME Demo - Cushions,Surrey
2023,Ride Designs,JC-1818,8118207,D-03998,HME Demo - Cushions,Surrey
2023,Ride Designs,JC-1816,8118208,D-03999,HME Demo - Cushions,Surrey
2022,Permobil,1R1010C - Roho 18 x 18 High Profile Cushions,A4476642,,HME Demo - Cushions,Surrey
2023,Ride Designs,SFCD -16x16 - Forward Cushion,8104786,D-03886,HME Demo - Cushions,Surrey
2023,Ride Design,SJC - 16x16 - Java Cushion,8104780,D-03887,HME Demo - Cushions,Surrey
2023,Ride Design,SFCD - 16x18 - Forward Cushion,8104782,D-03888,HME Demo - Cushions,Surrey
2023,Ride Design,SJC - 16x18 - Java Cushion,8104770,D-03889,HME Demo - Cushions,Surrey
2023,Ride Design,SFCD - 18x18 - Forward Cushion,8104775,D-03890,HME Demo - Cushions,Surrey
2023,Ride Design,SJC - 18x18 - Java Cushion,8104774,D-03891,HME Demo - Cushions,Surrey
2023,Ride Design,SFCD - 18x16 - Forward Cushion,8104779,D-03892,HME Demo - Cushions,Surrey
2023,Ride Design,SJC - 18x16 - Java Cushion,8104781,D-03893,HME Demo - Cushions,Surrey
2023,Ride Design,SFCD - 20x18 - Forward Cushion,8104771,D-03894,HME Demo - Cushions,Surrey
2023,Ride Design,SJC - 20x18 - Java Cushion,8099245,D-03895,HME Demo - Cushions,Surrey
2023,Physipro INC.,"Contour Insert Cushion,16x16",D-03914,D-03914,HME Demo - Cushions,Surrey
